STRUCTURE,STRUCTURE_ID,ACTION,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period or range,OBS_VALUE:Observation Value,UNIT_MULT:Unit Multiplier,TIME_FORMAT:Time Format,BREAKS:Breaks,COVERAGE:Coverage,DECIMALS:Decimals,TITLE_TS:Title (tseries level),OBS_CONF:Observation confidentiality,OBS_PRE_BREAK:Pre-Break Observation,OBS_STATUS:Observation Status
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-08,24.802079,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-09,25.422368,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-10,36.271667,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-11,29.714461,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-12,30.317702,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1919-01,30.932432,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1919-02,22.250079,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1919-03,18.794992,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1919-04,15.684509,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1919-05,11.758888,0: Units,,,,,,F: Free,,A: Normal value
